Occupation,occupation_group_name,Experience,Web Development,General-Purpose Programming,Databases and Data Manipulation,Scientific and Mathematical Computing,Not interested in programming,Product Owner,Java,Python,C#,TypeScript,JavaScript,C++,Go,C,CSS,HTML,PHP,MATLAB,R,SQL,NoSQL,SQLite
IT-tekniker/Datatekniker,"Drifttekniker, IT",1.882798092209857,0.13513513513513514,0.16864864864864865,0.15027027027027026,0.06378378378378378,0.6335135135135135,0.9783783783783784,0.006486486486486486,0.004324324324324324,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0075675675675675675,0.0,0.0,0.0,0.0,0.0,0.004324324324324324,0.05297297297297297,0.001081081081081081,0.0
Mjukvaruutvecklare,Mjukvaru- och systemutvecklare m.fl.,2.649383137188015,0.5117521367521367,1.4967948717948718,0.24572649572649571,0.20352564102564102,0.045940170940170943,1.2243589743589745,0.11591880341880342,0.08920940170940171,0.06837606837606838,0.026175213675213676,0.038995726495726496,0.09615384615384616,0.049145299145299144,0.06677350427350427,0.014423076923076924,0.008012820512820512,0.0037393162393162395,0.013354700854700854,0.0016025641025641025,0.05128205128205128,0.01282051282051282,0.0005341880341880342
"Affärskonsult, IT",Systemanalytiker och IT-arkitekter m.fl.,2.5127098321342927,0.6930455635491607,1.1798561151079137,0.45323741007194246,0.2182254196642686,0.1342925659472422,1.4556354916067147,0.09352517985611511,0.03117505995203837,0.002398081534772182,0.004796163069544364,0.03117505995203837,0.016786570743405275,0.019184652278177457,0.004796163069544364,0.007194244604316547,0.011990407673860911,0.0,0.0,0.0,0.03836930455635491,0.002398081534772182,0.0
"Verksamhetskonsult, IT",Systemanalytiker och IT-arkitekter m.fl.,1.9512195121951221,0.23780487804878048,0.4573170731707317,0.2926829268292683,0.10365853658536585,0.43902439024390244,1.7134146341463414,0.04878048780487805,0.012195121951219513,0.018292682926829267,0.018292682926829267,0.012195121951219513,0.024390243902439025,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0
Enterprise Architect,Systemanalytiker och IT-arkitekter m.fl.,1.8333333333333333,0.48314606741573035,0.9550561797752809,0.3707865168539326,0.2247191011235955,0.2808988764044944,1.0224719101123596,0.056179775280898875,0.0449438202247191,0.0,0.0,0.0449438202247191,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Systemförvaltare,Systemförvaltare m.fl.,2.306290322580645,0.0875,0.125,0.19,0.115,0.66,1.2375,0.0075,0.015,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.0625,0.0,0.0
Systemanalytiker/Systemutredare,Systemanalytiker och IT-arkitekter m.fl.,2.4896661367249604,0.2972972972972973,0.6,0.5027027027027027,0.3027027027027027,0.3783783783783784,1.0324324324324323,0.005405405405405406,0.06486486486486487,0.0,0.0,0.005405405405405406,0.0,0.016216216216216217,0.005405405405405406,0.005405405405405406,0.010810810810810811,0.0,0.005405405405405406,0.016216216216216217,0.04864864864864865,0.0,0.0
Backend-utvecklare,Mjukvaru- och systemutvecklare m.fl.,2.1803345454545453,0.4832,1.1216,0.28,0.0848,0.0352,1.1024,0.2944,0.136,0.2528,0.0512,0.0688,0.0416,0.0288,0.0064,0.0128,0.0096,0.0064,0.0,0.0016,0.0816,0.016,0.0
"Säkerhetsadministratör, IT",IT-säkerhetsspecialister,2.6962025316455698,0.16455696202531644,0.31645569620253167,0.17721518987341772,0.17721518987341772,0.5569620253164557,1.0632911392405062,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0
Testledare,Systemtestare och testledare,2.455132806891601,0.135678391959799,0.5125628140703518,0.10552763819095477,0.12562814070351758,0.4371859296482412,1.170854271356784,0.04522613065326633,0.035175879396984924,0.04522613065326633,0.0,0.005025125628140704,0.02512562814070352,0.010050251256281407,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.01507537688442211,0.0,0.0
Nätverksoperatör,Nätverks- och systemtekniker m.fl.,2.3333333333333335,0.05555555555555555,0.07407407407407407,0.2222222222222222,0.05555555555555555,0.5185185185185185,1.4074074074074074,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12962962962962962,0.0,0.0
Systemadministratör,Systemadministratörer,1.5841558441558439,0.14545454545454545,0.2051948051948052,0.18441558441558442,0.06233766233766234,0.5714285714285714,1.0077922077922077,0.02077922077922078,0.01818181818181818,0.023376623376623377,0.0,0.0,0.0,0.005194805194805195,0.0025974025974025974,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0,0.06753246753246753,0.0,0.0
"Civilingenjör, systemutveckling",Mjukvaru- och systemutvecklare m.fl.,2.666666666666667,0.2948717948717949,0.9666666666666667,0.1794871794871795,0.20512820512820512,0.3,1.158974358974359,0.05384615384615385,0.08974358974358974,0.038461538461538464,0.002564102564102564,0.03076923076923077,0.041025641025641026,0.038461538461538464,0.028205128205128206,0.0,0.01282051282051282,0.005128205128205128,0.023076923076923078,0.005128205128205128,0.02564102564102564,0.0,0.0
Applikationsutvecklare/Apputvecklare,Mjukvaru- och systemutvecklare m.fl.,2.736111111111111,0.5235849056603774,0.910377358490566,0.13679245283018868,0.06132075471698113,0.09433962264150944,1.0188679245283019,0.12735849056603774,0.014150943396226415,0.0047169811320754715,0.014150943396226415,0.014150943396226415,0.02830188679245283,0.018867924528301886,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0047169811320754715,0.02358490566037736,0.009433962264150943,0.0
Infrastrukturarkitekt,Systemanalytiker och IT-arkitekter m.fl.,1.71875,0.30357142857142855,0.44642857142857145,0.25,0.08928571428571429,0.4642857142857143,1.5357142857142858,0.0,0.017857142857142856,0.05357142857142857,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0
Användbarhetsdesigner,Övriga IT-specialister,2.078853046594982,2.0483870967741935,1.3064516129032258,0.1935483870967742,0.25806451612903225,0.016129032258064516,1.4838709677419355,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0
"Processansvarig, ITIL",Övriga IT-specialister,1.844155844155844,0.19480519480519481,0.5584415584415584,0.35064935064935066,0.11688311688311688,0.2987012987012987,1.4415584415584415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0
IT-strateg,Övriga IT-specialister,2.2117288651942117,0.264026402640264,0.594059405940594,0.3696369636963696,0.2739273927392739,0.3333333333333333,1.3927392739273927,0.026402640264026403,0.013201320132013201,0.026402640264026403,0.0,0.006600660066006601,0.0,0.026402640264026403,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0033003300330033004,0.0297029702970297,0.0,0.0
"Drifttekniker, data","Drifttekniker, IT",2.113572701807996,0.06926406926406926,0.08225108225108226,0.1774891774891775,0.012987012987012988,0.5757575757575758,1.277056277056277,0.0,0.030303030303030304,0.012987012987012988,0.0,0.0,0.0,0.004329004329004329,0.008658008658008658,0.004329004329004329,0.0,0.0,0.0,0.0,0.09090909090909091,0.017316017316017316,0.0
Kravanalytiker,Systemanalytiker och IT-arkitekter m.fl.,2.379807692307692,0.25961538461538464,0.3173076923076923,0.25,0.22115384615384615,0.4423076923076923,1.2980769230769231,0.028846153846153848,0.009615384615384616,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.0,0.0,0.0,0.009615384615384616,0.009615384615384616,0.0,0.0,0.0,0.019230769230769232,0.0,0.0
"Metodanalytiker, IT",Systemanalytiker och IT-arkitekter m.fl.,1.8181818181818181,0.4090909090909091,1.1363636363636365,1.0,0.9545454545454546,0.045454545454545456,1.0909090909090908,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.0,0.0
IT-arkitekt/Lösningsarkitekt,Systemanalytiker och IT-arkitekter m.fl.,3.5172239747634073,0.2946666666666667,0.352,0.15466666666666667,0.06666666666666667,0.21066666666666667,1.72,0.014666666666666666,0.006666666666666667,0.016,0.0,0.008,0.0013333333333333333,0.016,0.004,0.0,0.0,0.0013333333333333333,0.0,0.0013333333333333333,0.02266666666666667,0.004,0.0
Kommunikationstekniker,Nätverks- och systemtekniker m.fl.,2.9411764705882355,0.2647058823529412,0.4411764705882353,0.058823529411764705,0.029411764705882353,0.5,1.0588235294117647,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Säkerhetsansvarig, IT",IT-säkerhetsspecialister,3.373188405797101,0.13768115942028986,0.2028985507246377,0.09420289855072464,0.08695652173913043,0.427536231884058,1.0,0.007246376811594203,0.014492753623188406,0.0,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.007246376811594203,0.014492753623188406,0.0,0.0
Nätverkstekniker,Nätverks- och systemtekniker m.fl.,2.032051282051282,0.25,0.15168539325842698,0.08707865168539326,0.03651685393258427,0.5646067415730337,1.3342696629213484,0.0,0.019662921348314606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028089887640449437,0.0,0.0,0.03932584269662921,0.0,0.0
Dataoperatör,"Drifttekniker, IT",0.0,0.18181818181818182,1.0,0.36363636363636365,0.18181818181818182,0.6363636363636364,1.8181818181818181,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Datasäkerhetsansvarig,IT-säkerhetsspecialister,3.9626168224299065,0.08411214953271028,0.17757009345794392,0.102803738317757,0.102803738317757,0.6728971962616822,0.8411214953271028,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Systemarkitekt,Systemanalytiker och IT-arkitekter m.fl.,2.91,0.38,0.87,0.27,0.18,0.21,1.25,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
"Forskare, IT",Övriga IT-specialister,1.922077922077922,0.5714285714285714,1.3766233766233766,0.4935064935064935,0.8961038961038961,0.2597402597402597,1.3376623376623376,0.025974025974025976,0.14285714285714285,0.0,0.0,0.0,0.06493506493506493,0.025974025974025976,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0
IT-säkerhetschef,IT-säkerhetsspecialister,3.0,0.16071428571428573,0.4107142857142857,0.10714285714285714,0.07142857142857142,0.4107142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Configuration Manager/CM,Systemanalytiker och IT-arkitekter m.fl.,0.0,0.3333333333333333,0.5555555555555556,0.2777777777777778,0.0,0.5,1.7222222222222223,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
Datorlingvist/Datalingvist,Övriga IT-specialister,0.0,0.07692307692307693,0.9230769230769231,0.6153846153846154,1.3846153846153846,0.3076923076923077,0.8461538461538461,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
Databasadministratör,Systemadministratörer,2.6597938144329896,0.12371134020618557,0.2268041237113402,0.711340206185567,0.041237113402061855,0.5360824742268041,1.0309278350515463,0.010309278350515464,0.020618556701030927,0.030927835051546393,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.010309278350515464,0.0,0.0,0.010309278350515464,0.1958762886597938,0.010309278350515464,0.0
Nätverkskonstruktör,Nätverks- och systemtekniker m.fl.,1.5555555555555556,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.6666666666666666,1.1111111111111112,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nätverksansvarig,Systemadministratörer,0.0,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.38461538461538464,0.15384615384615385,1.4615384615384615,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIS-utvecklare,Mjukvaru- och systemutvecklare m.fl.,0.0,0.08333333333333333,0.0,0.4166666666666667,0.16666666666666666,0.6666666666666666,1.25,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
"Säkerhetsanalytiker, IT",IT-säkerhetsspecialister,2.889964788732394,0.1267605633802817,0.4014084507042254,0.2535211267605634,0.19718309859154928,0.4788732394366197,0.8450704225352113,0.0,0.02112676056338028,0.007042253521126761,0.0,0.014084507042253521,0.007042253521126761,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Webbansvarig/Webbstrateg,Webbmaster och webbadministratörer,2.1311475409836063,1.360655737704918,0.08196721311475409,0.14754098360655737,0.13114754098360656,0.4262295081967213,1.2131147540983607,0.0,0.0,0.0,0.0,0.04918032786885246,0.0,0.0,0.0,0.03278688524590164,0.04918032786885246,0.04918032786885246,0.0,0.0,0.0,0.0,0.0
IT-utredare,Systemanalytiker och IT-arkitekter m.fl.,4.5,0.23809523809523808,0.6190476190476191,0.09523809523809523,0.23809523809523808,0.5714285714285714,1.380952380952381,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Warehouse specialist,Mjukvaru- och systemutvecklare m.fl.,1.872340425531915,0.10638297872340426,0.5531914893617021,1.446808510638298,0.2127659574468085,0.2765957446808511,1.297872340425532,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.0
Databasutvecklare,Mjukvaru- och systemutvecklare m.fl.,2.6611570247933884,0.3140495867768595,0.6033057851239669,0.9173553719008265,0.371900826446281,0.1322314049586777,1.0826446280991735,0.05785123966942149,0.05785123966942149,0.01652892561983471,0.01652892561983471,0.01652892561983471,0.0,0.03305785123966942,0.0,0.01652892561983471,0.0,0.008264462809917356,0.008264462809917356,0.0,0.1652892561983471,0.01652892561983471,0.0
Användbarhetsexpert,Övriga IT-specialister,1.7142857142857142,1.2857142857142858,1.0714285714285714,0.35714285714285715,0.21428571428571427,0.0,1.6428571428571428,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
Nätverksadministratör,Systemadministratörer,0.0,0.0,0.14893617021276595,0.0851063829787234,0.0,0.7021276595744681,0.9148936170212766,0.0,0.14893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT-metodansvarig,IT-säkerhetsspecialister,0.0,0.3125,0.9375,0.375,0.1875,0.25,1.625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Databastekniker,Systemadministratörer,0.0,0.08163265306122448,0.20408163265306123,0.7346938775510204,0.08163265306122448,0.16326530612244897,0.46938775510204084,0.04081632653061224,0.0,0.0,0.0,0.02040816326530612,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0
IT-forensiker,IT-säkerhetsspecialister,1.625,0.1875,0.25,0.25,0.25,0.3125,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dispatcher,"Supporttekniker, IT",0.0,0.0,0.25,0.0,0.0,0.75,1.375,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interaktionsdesigner,Övriga IT-specialister,2.5,1.3658536585365855,0.8536585365853658,0.17073170731707318,0.5853658536585366,0.024390243902439025,1.2195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.0,0.0
"Programmerare, onlinespel",Utvecklare inom spel och digitala media,0.0,0.8571428571428571,1.2857142857142858,0.07142857142857142,0.21428571428571427,0.0,1.5,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speltestare,Systemtestare och testledare,0.0,0.2,1.2,0.2,0.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Webbtekniker,Webbmaster och webbadministratörer,1.4249999999999998,1.7,0.35,0.5,0.0,0.2,1.1,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.1,0.0,0.0
"Programmerare, konsolspel",Utvecklare inom spel och digitala media,0.0,0.3,1.55,0.0,0.15,0.05,1.1,0.0,0.05,0.05,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Programmerare, PC-spel",Utvecklare inom spel och digitala media,2.0,1.0416666666666667,1.375,0.08333333333333333,0.25,0.041666666666666664,1.0833333333333333,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.20833333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
"Programmerare, mobilspel",Utvecklare inom spel och digitala media,0.0,0.7333333333333333,1.1333333333333333,0.2,0.2,0.0,1.0666666666666667,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
PC-koordinator,"Drifttekniker, IT",0.0,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
Webmaster,Webbmaster och webbadministratörer,2.0,1.0,0.1875,0.0625,0.25,0.5625,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
Databasdesigner,Mjukvaru- och systemutvecklare m.fl.,2.769230769230769,0.5384615384615384,0.38461538461538464,0.9230769230769231,0.7692307692307693,0.5384615384615384,1.6923076923076923,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
"Programmerare, webbspel",Utvecklare inom spel och digitala media,0.0,1.8,1.0,0.0,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
